instruction,input,output
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the dashboard ?,"the dashboard section allows the user to see a  brief and quick preview of the company providing details such as total number of employees , On-Time employees , late and absent and other useful insights about the company. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create a new employee?,"navigate to the Employee section and press the ""add new"" button then fill the form with the required information such as name , position and national number,etc"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to export employee list ?,"navigate to the employee section and press the ""export employee"" button then select the desired columns you want in the exported file such as department , leaves and other insights . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to filter certain employees ?,"navigate to the employees section and find the ""Filter"" button then select the desired filtering options from the preview."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to  search for an employee?,"you can use the global search bar located at the top of the screen , where you can enter employee name , email , phone number or employee id number."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to search for an employee in the employee section ?,"navigate to the employees section and navigate to the filtering search bars where you can search / filter employees based on their office , department , position , manager and work timing.   "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is sign in on behalf ?,its a feature that allows managers to clock in for employees within their  work timings intervals.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i sign in on behalf ?,"navigate to employees page then navigate to the desired employee , then press the sign in button and fill in the required information such as sign in time and location and work timing in case the employee has multiple shifts."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i suspend an Employee ?,"navigate to the employees section and find the employee you want to suspend , you can either suspend the employee by pressing the ""Suspension"" button or enter the employee profile and press the ""Suspension"" from within the employee profile,then choose the date and the deserved annual leaves."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i delete an employee ?,"navigate to the employees section then find the desired employee for deletion, then press ""Delete"" button or enter the employee profile and press ""delete"" button from the inside then follow the onscreen flow."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i add or remove employee privilege ?,"navigate to the employees section and press ""Manage privilege  "" button and add or remove the desired privileges then press ""Save""."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do i sign out on behalf ?,"navigate to the employees section and find the desired employee then press ""Sign out "" button and provide the required information such as sign out time and location. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is sign out on behalf ?,its a feature that allows managers to clock out for employees within their  work timings intervals.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i view employee details ?,navigate to the employees section then find the desired employee then enter the employee profile or you can search for the employee using the global search located atop the page.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i view the employee's history ?,navigate to the chosen employee and then press the history tab within the employee profile
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i edit employee attendance from employee profile ?,"navigate to the desired employee and select the history tab then find the desired sign in record to be edited , then press the ""edit"" button and make the desired modifications."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i search for specific records in the employee profile ?,"in the employee profile navigate to the history tab and use the status , from and to search bards to search and filter records to your liking  ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i edit attendance type profile from the employee profile ?,"in the attendance type section in the employee profile , navigate to the edit button next to the desired configuration to edited , then change the desired information and press save."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i add new attendance type configuration for an employee ?,"in the employee profile  , under the attendance type section , press the ""add new configuration"" button and fill in the required information then press save ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i delete an  attendance type configuration from an employee profile ?,"in the employee profile , under the attendance type section , press ""delete"" button next to the attendance type configuration."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i view employee shifts from the employee profile ?,"in the employee profile , navigate and find the work calendar section."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i change employee shifts from employee profile ?,"in the employee profile , navigate and find the work calendar section , then press change shift button and modify the desired information then press save."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request a new annual leave ?,"in the employee profile , press ""new request"" button then choose a  date in the future and ""Annual leave "" from request type field then press save. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request a new emergency  annual leave ?,"in the employee profile , press ""new request"" button then choose a date in the past  and ""Annual leave "" from request type field then press save. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request a new permission  ?,"in the employee profile , press ""new request"" button then choose date and ""permission   "" from request type field then press save. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request a new work remotely request ?,"in the employee profile , press ""new request"" button then choose date and ""work remotely"" from request type field then press save. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request a new unpaid leaves  ?,"in the employee profile , press ""new request"" button then choose date and ""unpaid leaves "" from request type field then press save. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request a new expense claim  ?,"in the employee profile , press ""new request"" button then choose date and ""Expense claim "" from request type field then fill the required information then  press save. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request bereavement  leave?,Employee cant request bereavement leaves as it a custom leave and must have a manager request if for them on behalf.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is request on behalf ?,its a feature that allows managers to submit requests for their employees
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request hajj leaves ?,Employee cant request hajj leaves as it a custom leave and must have a manager request if for them on behalf.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request study leaves ?,Employee cant request study leaves as it a custom leave and must have a manager request if for them on behalf.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request maternity leaves ?,Employee cant request maternity  leaves as it a custom leave and must have a manager request if for them on behalf.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request sabbatical leaves ?,Employee cant request sabbatical leaves as it a custom leave and must have a manager request if for them on behalf.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request marriage leaves ?,Employee cant request marriage  leaves as it a custom leave and must have a manager request if for them on behalf.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request in lieu of work leaves ?,Employee cant request in lieu of work  leaves as it a custom leave and must have a manager request if for them on behalf.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how do i request ignore exception ?,you can request ignore exception on an exceptional assignment by going to your profile and selecting new request button and then selecting the dat e of the exceptional assignment and then choose ignore exception from the leaves type section.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is annual leave balance ?,"annual leave balance  is the allowed amount of leaves the user can request from and the default values are as follows : 29 total leaves and 6 emergency leaves , you can change the values in the corresponding leave and break profile ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is Mawared Hr System ?,"Easy and Reliable tool to manage you diverse work force\nusing location tracking, customizable employee profiles,\ntracking of employees' attendance, breaks, penalties And\nleaves."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what kind of features does mawared support ?,"time and attendance tracking, payroll management, employee self - service, performance management, talent management, compliance and reporting and many more."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is your purpose ?,support and answer  users questions as best as i can.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is time and attendance tracking ?,a feature that uses real time tracking of employee attendance to ensure best quality
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i track employee attendance?,using time and attendance tracking feature
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is payroll management ?,"a feature that automates complex payroll calculations, integrating penalties, bonuses, overtime requests, and deductions to ensure accurate salary payments"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are payroll management features ?,"you can view base salary , allowances , bonuses , overtime , loans, penalties , insurances and deductions."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is employee self-service in Mawared?,"Employee self-service is a feature that allows employees to manage their own personal information, view payroll details, request leaves, and access other HR-related services without needing to go through HR personnel."
